law,pixels,path
warm?,452,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[72].b64
warm?,68,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[75].b64
warm?,116,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[96].b64
PURPLE,4,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[109].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[114].b64
PURPLE,83,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[114].b64
PURPLE,67,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[115].b64
PURPLE,75,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[116].b64
PURPLE,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[117].b64
warm?,5,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[118].b64
PURPLE,62,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[118].b64
PURPLE,8,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[119].b64
PURPLE,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[121].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[123].b64
PURPLE,14,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[123].b64
PURPLE,7,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[124].b64
PURPLE,49,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[125].b64
warm?,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[126].b64
PURPLE,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[126].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[127].b64
PURPLE,15,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[127].b64
warm?,4,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[128].b64
PURPLE,8,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[128].b64
PURPLE,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[130].b64
PURPLE,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[132].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[135].b64
warm?,23,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[138].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[139].b64
PURPLE,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[139].b64
warm?,7,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[141].b64
PURPLE,62,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[143].b64
warm?,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[144].b64
PURPLE,55,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[144].b64
warm?,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[147].b64
PURPLE,48,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[147].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[148].b64
PURPLE,77,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[148].b64
PURPLE,59,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[149].b64
warm?,4,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[151].b64
PURPLE,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[151].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[153].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[154].b64
PURPLE,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[154].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[177].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[191].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[192].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[194].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[196].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[197].b64
warm?,6,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[202].b64
LAVA,17,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[203].b64
warm?,47,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[214].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[218].b64
warm?,10,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[227].b64
PURPLE,6,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[227].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[229].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[236].b64
warm?,219,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[240].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[242].b64
warm?,178,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[249].b64
warm?,84,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[267].b64
warm?,56,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[268].b64
warm?,8,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[269].b64
warm?,82,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[277].b64
warm?,228,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[281].b64
warm?,88,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[282].b64
warm?,9,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[283].b64
warm?,8,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[288].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[289].b64
warm?,11,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[294].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[298].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[300].b64
warm?,303,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[301].b64
LAVA,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[302].b64
LAVA,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[303].b64
warm?,254,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[305].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[309].b64
warm?,5,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[317].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[325].b64
warm?,4,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[326].b64
warm?,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[331].b64
warm?,48,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[333].b64
warm?,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[334].b64
LAVA,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[341].b64
warm?,6,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[342].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[343].b64
LAVA,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[344].b64
warm?,9,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[345].b64
warm?,11,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[346].b64
warm?,9,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[347].b64
warm?,15,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[348].b64
